Pop04;PopChange;MedAge;MedIncome;MedHVal;MedRent;Unemployment;CostOfLiving;HispRate;AsianRate;BlackRate;AmerIndRate;LandArea;URL;CrawledTime;DbId;Year;TrueURL;City;Spalte1
520116;6.9;33.0;35565;162400;679;5.9;89.8;41.6;2.7;4.5;1.7;194.7;http://web.archive.org/web/20130105231342/http://www.city-data.com:80/city/Tucson-Arizona.html;18.12.2016 22:39;240;2013;http://www.city-data.com/city/Tucson-Arizona.html;TUCSON, AZ;TUCSON, AZ2013
524295;7.7;33.0;35362;138300;701;13.9;89.6;42.2;2.6;4.5;1.4;194.7;http://web.archive.org/web/20131229211252/http://www.city-data.com:80/city/Tucson-Arizona.html;18.12.2016 22:39;241;2014;http://www.city-data.com/city/Tucson-Arizona.html;TUCSON, AZ;TUCSON, AZ2014
524295;7.7;33.2;35354;123400;719;11.4;89.0;43.6;2.2;4.8;1.4;194.7;http://web.archive.org/web/20150101035255/http://www.city-data.com:80/city/Tucson-Arizona.html;18.12.2016 22:39;242;2015;http://www.city-data.com/city/Tucson-Arizona.html;TUCSON, AZ;TUCSON, AZ2015
39985;9.9;24.6;32236;147079;703;6.5;88.7;4.5;15.2;15.7;0.0;10.5 ;http://web.archive.org/web/20120102050348/http://www.city-data.com:80/city/Urbana-Illinois.html;18.12.2016 22:40;243;2012;http://www.city-data.com/city/Urbana-Illinois.html;URBANA, IL;URBANA, IL2012
41460;13.9;24.8;32236;147079;703;6.5;88.8;5.2;17.7;16.1;0.1;10.5 ;http://web.archive.org/web/20130124211050/http://www.city-data.com/city/Urbana-Illinois.html;18.12.2016 22:40;244;2013;http://www.city-data.com/city/Urbana-Illinois.html;URBANA, IL;URBANA, IL2013
41581;14.2;24.8;29214;151321;754;8.8;89.7;5.8;17.2;16.0;0.2;10.5 ;http://web.archive.org/web/20130907223441/http://www.city-data.com/city/Urbana-Illinois.html;18.12.2016 22:40;245;2014;http://www.city-data.com/city/Urbana-Illinois.html;URBANA, IL;URBANA, IL2014
41581;14.2;24.8;31178;147449;763;8.1;89.0;5.2;16.2;17.4;0.2;10.5 ;http://web.archive.org/web/20150110162055/http://www.city-data.com:80/city/Urbana-Illinois.html;18.12.2016 22:40;246;2015;http://www.city-data.com/city/Urbana-Illinois.html;URBANA, IL;URBANA, IL2015
;0.0;39.4;;;;9.8;;0.3;0.4;3.1;0.0;0.53 ;http://web.archive.org/web/20101018130147/http://www.city-data.com:80/city/Verona-Pennsylvania.html;18.12.2016 22:40;247;2012;http://www.city-data.com/city/Verona-Pennsylvania.html;VERONA, PA;VERONA, PA2012
2475;-20.8;40.1;38253;85128;621;9.8;94.7;2.2;0.2;7.4;0.04;0.53 ;http://web.archive.org/web/20130512035156/http://www.city-data.com/city/Verona-Pennsylvania.html;18.12.2016 22:40;248;2013;http://www.city-data.com/city/Verona-Pennsylvania.html;VERONA, PA;VERONA, PA2013
2475;-20.8;40.1;38253;85128;621;9.8;94.7;2.2;0.2;7.4;0.04;0.53 ;http://web.archive.org/web/20130525145348/http://www.city-data.com:80/city/Verona-Pennsylvania.html;18.12.2016 22:40;249;2014;http://www.city-data.com/city/Verona-Pennsylvania.html;VERONA, PA;VERONA, PA2014
